accelerated graphics port (AGP)		przyspieszony port graficzny AGP/ magistrala AGP
accidental power outage			nagła przerwa w dostawie prądu
actuator arm				ramię głowicy
actuator axis	oś pozycjonera dysku
actuator	serwomechanizm
advanced technology attachment (ATA)	interfejs systemowy przeznaczony do komunikacji – dyskami twardymi
AGP slot	gniazdo AGP
alphanumeric key	klawisz alfanumeryczny
arithmetic logic unit (ALU)	jednostka arytmetyczno logiczna
backup battery	bateria podtrzymująca
backup	kopia zapasowa
CD/DVD/Blu-ray drive	napęd CD/DVD/Blu-ray
central processing unit (CPU)	jednostka centralna / procesor
chip	chip / kość
chipset	chipset
circuit board	płytka drukowana
circuit	obwód
command key	klawisz polecenia
computer case	obudowa komputera
computer hardware	sprzęt komputerowy
computer software	oprogramowanie komputerowe
connector	złącze
control unit	jednostka sterująca
copper	miedź
CPU socket	gniazdo procesora
data storage device	urządzenie do przechowywania danych
datapath	ścieżka danych
drive bay	kieszeń napędu
duo-core CPU	dwurdzeniowy procesor 
(to) enable	umożliwić
(to be) equipped (with something)	być wyposażony (w coś)
execution	wykonanie
external hard disk	dysk twardy zewnętrzny
fan	wentylator
(to) fetch	pobierać
flash memory card reader	czytnik kart pamięci typu flash
flash memory	pamięć typu flash
floppy disk drive (FDD)	napęd dyskietek
front-side bus (FSB)	magistrala FSB
function key	klawisz funkcyjny
graphics card	karta graficzna
hard disk drive (HDD)	napęd dysku twardego
hard disk	dysk twardy
hard drive slot	gniazdo do podłączenia dysku twardego
head crash	uszkodzenie głowicy
in current use	obecnie używany
input and output (I/O) function	funkcja wejścia / wyjścia 
input device	urządzenie wejścia
input peripheral	wejściowe urządzenie peryferyjne
input	wejście
interchangeable	wymienny / zamienny
interface	interfejs
internal hard disk	dysk twardy wewnętrzny
jumper	zworka
keyboard	klawiatura
logic board	płyta główna
magnetic particle	cząstka magnetyczna
main board	płyta główna
(to) make up (something)	tworzyć (coś)
memory card	karta pamięci
mobo	płyta główna (kolokwialnie)
motherboard	płyta główna
mouse cursor	kursor myszy
navigation key	klawisz nawigacyjny
network card	karta sieciowa
non-volatile memory	pamięć nieulotna
northbridge with heat sink	mostek północny z radiatorem
northbridge	mostek północny
(to) obtain	uzyskać / otrzymać
operating system (OS)	system operacyjny
output peripheral	wyjściowe urządzenie peryferyjne 
output	wyjście
PCI slot	gniazdo PCI
(to) perform task	wykonywać zadanie
peripheral component interconnect (PCI)	magistrala PCI
peripheral	urządzenie peryferyjne
pie-shaped section	sekcja w kształcie wycinka koła
platter	talerz
portable	przenośny
positioning	pozycjonowanie
power connector	złącze zasilania
power cord	kabel zasilający
power pack	zasilacz (kolokwialnie)
power source	źródło energii
power supply unit (PSU)	zasilacz
primary storage unit	podstawowa jednostka pamięci
printed circuit board (PCB)	płytka drukowana
quad core CPU	czterordzeniowy procesor
RAM slot	gniazdo RAM
random access memory (RAM)	pamięć o dostępie bezpośrednim / pamięć RAM
read / write head	głowica zapisu / odczytu
read-only memory (ROM)	pamięć tylko do odczytu / pamięć stała / pamięć ROM
register	rejestr
ROM chip	kość pamięci ROM
(to) rewrite	ponownie zapisać
SATA connector	złącze SATA
serial ATA (SATA)	interfejs szeregowy / szeregowa magistrala
single core CPU	jednordzeniowy procesor
slot	gniazdo
small computer system interface (SCSI)	interfejs małych systemów komputerowych
socket	gniazdo
solid state drive (SSD)	napęd SSD
sound card	karta dźwiękowa
southbridge	mostek południowy
(to) spin	obracać
spindle	wrzeciono
spreadsheet	arkusz kalkulacyjny
storage capacity	pojemność pamięci
storage medium	nośnik danych
storage unit	jednostka pamięci
system memory	pamięć systemowa
trace	ścieżka
track	ścieżka
USB flash drive	pamięć USB
video card	karta wideo
volatile memory	pamięć ulotna
wire	przewód
