ENGLISH,POLISH,COMMENTS
access control mechanism,mechanizm kontroli dostępu,
access level,poziom dostępu,
accessible,dostępny,
accessible remotely,dost?pny zdalnie,
accuracy,do?adno?? / precyzyjno?? / trafno??,
(to) administer database,administrowa? baz? danych,
alteration,zmiana,
(to) apply (to something),odnosi? si? (do czego?) / mie? zastosowanie (do czego?),
(to) arrange,organizowa? / porz?dkowa?,
associative entity,encja asocjacyjna,dodatkowa encja (tabela) do usprawnienia po??czenia wiele do wielu
assumption,za?o?enie,
attribute ,atrybut,
authentication,uwierzytelnienie / po?wiadczenie,
authorization,upowa?nienie / uprawnienie / autoryzacja,
backup,kopia zapasowa,
by and large,ogólnie rzecz bior?c,
central proccessing unit (CPU),procesor,
cloud computing platform,platforma oparta na chmurze obliczeniowej,
cloud-based DBMS,system zarz?dzania baz? danych w chmurze,
collection of requirements,zbiór wymaga?,
column,kolumna,
conceptual database model,konceptualny model bazy danych,
concurrent access,równoczesny dost?p,
consistency,spójno??,
consistent,spójny,
constraint,ograniczenie,
constraints,wi?zy,ograniczenia
(to) convert (something to something),przekszta?ca? (co? w co?),
crow's foot,kurza stopka,"notacje oznaczaj?ce relacje: >?<, ?<, ???"
data administrator,administrator danych,
data availability,dost?pno?? danych,
data backup,kopia zapasowa danych,
data integrity,integralno?c danych,
data loading,?adowanie danych,
data loss,utrata danych,
data management,zarz?dzanie danymi,
data manipulation ,operowanie / manipulowanie danymi,
data migration,migracja danych,
data model,model danych,
data need,zapotrzebowanie na dane,
data recovery,odzyskiwanie danych,
data retrieval,wyszukiwanie danych,
data security,bezpiecze?stwo danych,
data standards,standardy zwi?zane z bazami danych,
data storage,przechowywanie danych,
data type,typ danych,
database administrator (DBA),administrator baz danych,
database as a service (DBaaS),baza danych jako us?uga,
database design,projekt bazy danych,dese?
database designer,projektant bazy danych,
database engine,silnik bazy danych,
database managment system (DBMS),system zarz?dzania baz? danych,
database object,obiekt bazodanowy,
database query language,j?zyk zapyta? do bazy danych,"np.: SQL, pgSQL, CQL, SPARQL"
deadlock,zakleszenie / blokada wzajemna,jednoczesna rywalizacja procesów o te same zasoby
(to) decipher,rozszyfrowa? / odcyfrowa?,
disk space,przestrze? dyskowa,
distributed DBMS,system zarz?dzania rozproszon? baz? danych,
