#,money idiom,meaning,polish idiom
1,break the bank,rozbic bank,nie zbiedniec od czegos
2,chicken feed,mala suma ,psie pienadze
3,cost a pretty penny,cos jest bardzo drogie,-
4,money laundering,pranie brudnych pieniedzy,-
5,be a lame duck,bankrut (o firmie),ofiara losu
6,cash cow,doskona?e zrodlo dochodow,kura znoszaca zlote jajka
7,the bread and butter,srodki utrzymania,miec na chleb
8,nest egg,oszcz?dnosci,-
9,be in the red,deficyt na koncie bankowym,pod kreska (mniej niz zero:)
10,be sold a pub,dac sie wykiwac,dac sie sfrajerowac
11,tighten one's belt,wydawac mniej pieniedzy,zacisnac pasa
12,hit the jackpot,wygrac na loterii,wygrac glowna nagrode
13,take the bread out if somebody's mouth,odebra? komu? ?rodki do ?ycia,-
14,monkey business,podejrzane interesy,-
15,buy a pig in a poke,nie sprawdzic tego co kupujesz,kupowac kota w worku
16,on a shoestring,za niewielkie pieniadze,zyc na chlebie i wodzie
17,have deep pockets,ktos bardzo bogaty,ma wypchane kieszenie
18,money doesn't grow on trees,pieniadze nie rosna na drzewach,pieniadze nie leza na ulicy
19,suit every pocket,kazdego stac,na kazda kieszen
20,save for a rainy day,oszczedzac na deszczowe dni,oszczedzac na czarna godzine
