akronim,nazwa,komentarz,
AARP,AppleTalk Address Resolution Protocol,protokol uzywany do mapowania adresow sieciowych na adresy sprzetowe w sieciach AppleTalk,
ACL,Access Control Lists,lista uprawnień skojarzonych z obiektem komputerowego systemu plikow,
ACSE,Association Control Service Element,protokol komunikacyjny uzywany w ramach systemu komunikacyjnego odpowiedzialny za kontrole utrzymywania i zamykania sesji.,
AEP,AppleTalk Echo Protocol,Protokol Echa AppleTalk: Protokol sluzacy do testowania lacznosci miedzy urzadzeniami w sieci AppleTalk,
AFP,AppleTalk Filing Protocol,protokol wykorzystywany do udostepniania plikow i zasobow w sieciach opartych na architekturze AppleTalk,
ARP,Address Resolution Protocol,protokol sieciowy umozliwiajacy mapowanie logicznych adresow warstwy sieciowej,
AS,Autonomous System,zbior prefiksow (adresow sieci IP) pod wspolna administracyjna kontrola,
ATB,AppleTalk Transaction Protocol,protokol wykorzystywany do przekazywania transakcji miedzy klientami a serwerami w sieciach AppleTalk,
BGP,Border Gateway Protocol,zewnetrzny protokol trasowania (routingu),
bps,bits per second,bity na sekunde,
BYOD,Bring Your Own Device,trend propagujacy korzystanie z wlasnych urzadzien w pracy lub szkole,
CCNA,Cisco Certified Network Associate,certyfikat drugiego stopnia sieciowej sciezki technologicznej,
CLI,Command-Line Interface,wiersz polecen,
CLNP,Connectionless Network Protocol,protokol sieciowy bezpolaczeniowy,
CMNS,Common Management Information Service,standardowy interfejs do zarzadzania urzadzeniami sieciowymi,
CONP,Connection-oriented Network Protocol,protokol sieciowy zorientowany na polaczenie,
DDoS,Distributed Denial of Service,"odmiana ataku DoS przy uzyciu wielu komputerow ""zombie""",
DHCP,Dynamic Host Configuration Protocol,protokol dynamicznego konfigurowania hostow,
DNS,Domain Name System,hierarchiczny rozproszony system nazw sieciowych,
DoS,Denial of Service,atak na system komputerowy lub usluge sieciowa w celu zablokowania,
DRDoS,Distributed Reflected Denial of Service,odmiana ataku DoS (zadaniania synchronizacji),
DSL,Digital Subscriber Line,cyfrowa linia abonencka,
EIGRP,Enhanced Interior Gateway Routing Protocol,protokol routingu uzywany w sieciach IP,
FTP,File Transfer Protocol,protokol transferu plikow,
GUI,Graphical User Interface,graficzny interfejs uzytkownika,
HTTP,HyperText Transfer Protocol,teksowy protokul transferu danych,
HTTPS,Hypertext Transfer Protocol Secure,zabezpieczona wersja protokolu HTTP,
ICMP,Internet Control Message Protocol,internetowy protokol komunikatow kontrolnych,
IETF,Internet Engineering Task Force,miedzynarodowa organizacja odpowiedzialna za opracowywanie i standaryzacje protokolow internetowych,
IGP,Interior Gateway Protocol,protokol trasowania pakietow danych wewnatrz systemu autonomicznego,
IMAP,Internet Message Access Protocol,protokol umozliwiajacy dostep do skrzynki pocztowej na serwerze,
IOS,Internetwork Operating System,system operacyjny opracowany przez firme Cisco,
IP,Internet Protocol,protokol internetowy,
IPS,Intrusion prevention systems,systemy wykrywania i zapobiegania wlamaniom,
IPX,Internetwork Packet Exchange,protokol warstwy sieciowej,
ISO,International Standards Organization,Miedzynarodowa Organizacja Normalizacyjna,
ISP,Internet Service Provider,dostawca polaczenia do internetu,
ITU,International Telecommunication Union,Miedzynarodowy Zwiazek Telekomunikacyjny,
LAN,Local Area Network,lokalna siec komputerowa,
NAT,Network Address Translation,mechanizm uzywany w routerach do przeksztalcania adresow IP w sieciach prywatnych na adresy publiczne w celu komunikacji z siecia zewnetrzna,
NBP,Name Binding Protocol,protokol uzywany w sieciach AppleTalk do mapowania adresow sieciowych na nazwy urzadzen,
NDS,Novell Directory Services,uslugi zarzadzania katalogami uzytkownikow i zasobow w sieciach Novell,
NIC,Network Unterface Card,karta rozszerzenia do przesylania sygnalow w sieci komputerowej,
NVRAM,Non-Volatile Random-Access Memory,pamiec nietracaca informacji po zaniku zasilania,
OSI (OSI RM),Open Systems Interconnection Reference Model,model standardu telekomunikacji,
OSPF,Open Shortest Path First,protokol trasowania oparty na analizie stanu lacza,
P2P,Peer-to-Peer,klient do klienta (bez serwera),
POP3,Post Office Protocol version 3,protokol uzywany przez klientow poczty do pobierania wiadomosci z serwera poczty,
PTPM,Packet Tracer Physical Mode,trening na symulatorze sieci,
QoS,Quality of Service,calosc charakterystyk uslugi telekomunikacyjnej ,
RAM,Random-Access memory,podstawowy rodzaj pamieci komputerowej,
REST,Representational State Transfer,architektura sieciowa oparta na transferze stanu przedstawienia miedzy klientem a serwerem,
ROM,Read-Only Memory,pamiec tylko do odczytu,
ROSE,Remote Operations Service Element,protokol uzywany w modelu OSI do zarzadzania operacjami zdalnymi na systemach komputerowych,
RTMP,Routing Table Maintenance Protocol,protokol uzywany w AppleTalk do zarzadzania tabelami routingu w sieciach lokalnych,
SDSL,Symmetric Digital Subscriber Line,technologia przesylu danych za pomoca linii telefonicznej,
SFTP,Secure File Transfer Protocol,protokol umozliwiajacy bezpieczny transfer plikow przez siec,
SLAAC,Stateless Address Autoconfiguration,mechanizm uzywany w IPv6 do automatycznego przydzielania adresow IP klientom bez potrzeby serwera DHCP,
SMTP,Simple Mail Transfer Protocol,protokol sluzacy do przesylania poczty elektronicznej miedzy serwerami poczty,
SOHO,Small Office and Home Office,male (zazwyczaj przydomowe) przedsiebiostwa,
SPX,Sequenced Packet Exchange,protokol warstwy transportowej,
SSH,Secure Shell,standard protokolow komunikacyjnych uzywanych w sieciach komputerowych TCP/IP,
SSL,Secure Sockets Layer,standard transmisji danych,
SVI,Switch Virtual Interfaces,logiczny interfejs warstwy 3 na switch-u,
TCP,Transmission Control Protocol,protokol sterowania transmisja,
TFTP,Trivial File Transfer Protocol,prosty protokol uzywany do transferu plikow miedzy klientem a serwerem w sieciach IP,
TLS,Transport Layer Security,rozwiniecie SSL (opiera sie na szyfrowaniu asymetrycznym),
TRSE,Transfer Service Element,protokol warstwy aplikacji,
UDP,User Datagram Protocol,protokol pakietow uzytkownika,
USB,Universal Serial Bus,uniwersalna magistrala szeregowa,
VLAN,Virtual Local Area Network,siec komputerowa wydzielona logicznie w ramach wiekszej sieci,
VoIP,Voice over Internet Protocol,telefonia internetowa,
VPN,Virtual Private Network,tunel  w ramach sieci prywatnej pomiedzy nadawca i odbiorca,
WAN,Wide Area Network,rozlegla siec komputerowa,
